people ਜਨਤਾ
state ਸਥਿਤੀ
lot ਢੇਰ
help ਸਹਾਇਤਾ
number ਗਿਣਤੀ
right ਸਹੀ
present ਮੌਜੂਦ
hospital ਹਸਪਤਾਲ
easy ਸੌਖਾ
least ਥੋੜ੍ਹਾ
still ਸਥਿਰ
social ਸਮਾਜਿਕ
matter ਮਾਮਲਾ
better ਬੇਹਤਰ
city ਮਹਾਂਨਗਰ
find ਖੋਜਣਾ
give ਦੇਣਾ
last ਅੰਤ
include ਮਿਲਨਾ
school ਸਕੂਲ
process ਪ੍ਰਕਿਰਿਆ
medical ਡਾਕਟਰੀ
mr ਸ਼੍ਰੀ
real ਅਸਥਾਈ
woman ਕੁੜੀ
cost ਕੀਮਤ
next ਅਗਲਾ
total ਭਰਪੂਰ
wrong ਗਲਤ
face ਮੁੱਖ
report ਰਿਪੋਰਟ
contact ਸੰਪਰਕ
quality ਗੁਣਵੱਤਾ
regard ਮਾਣ
enough ਬੱਸ
official ਦਫ਼ਤਰੀ
color ਰੰਗ
oil ਤੇਲ
history ਇਤਿਹਾਸ
law ਨਿਆ
form ਰੂਪ
local ਸਥਾਨਿਕ
open ਖੋਲਣਾ
assembly ਜਨਸਭਾ
yes ਹਾਮੀ
lakh ਲੱਖ
entire ਭਰਪੂਰ
across ਪਾਰ
young ਨਾਬਾਲਿਗ
full ਭਰਪੂਰ
left ਖੱਬੇ
win ਜਿੱਤਣਾ
bank ਬੈਂਕ
book ਕਿਤਾਬ
increase ਵਧਾਉਣਾ
clear ਸਾਫ਼
election ਚੌਣ
let ਦੇਣਾ
located ਸਥਿਤ
account ਰਿਪੋਰਟ
application ਅਰਜੀ
natural ਕੁਦਰਤੀ
hair ਰੋਮ
temperature ਤਾਪਮਾਨ
considered ਵਿਚਾਰਿਆ
friendly ਦੋਸਤਾਨਾ
drink ਪੀਣਾ
learn ਸਿੱਖਣਾ
trump ਬਾਜਾ
fight ਲੜਾਈ
alone ਇਕੱਲਾ
programme ਪ੍ਰਕਾਸ਼
light ਪਾਠਕ੍ਰਮ
admission ਦਾਖਲਾ
supreme ਪਰਮ
close ਨਿਪਟਣਾ
written ਕਾਗਜ਼ੀ
cool ਠੰਡਕ
deal ਸੌਦਾ
cabinet ਮੰਤਰੀਮੰਡਲ
south ਦੱਖਣ
music ਸੰਗੀਤ
bathroom ਬਾਥਰੂਮ
study ਪੜਨਾ
force ਤਾਕਤ
crore ਕਰੋੜ
step ਪੌੜੀ
exercise ਸਾਧਨਾ
active ਕਿਰਿਆਸ਼ੀਲ
murder ਮਾਰਨਾ
hand ਹੱਥ
increasing ਵੱਧਦਾ
pressure ਦਬਾਅ
final ਫਾਇਨਲ
married ਵਿਆਹਿਆ
birth ਜੰਮਣਾ
west ਪੱਛਮ
turned ਫਟਿਆ
vitamin ਵਿਟਾਮਿਨ
talking ਬੋਲਦੀ
program ਪਾਠਕ੍ਰਮ
dry ਸੁੱਕਾ
computer ਕੰਪਿਊਟਰ
perfect ਪੱਕਾ
affected ਪ੍ਰਭਾਵਿਤ
capital ਪੂੰਜੀ
expensive ਮਹਿੰਗਾ
legal ਕਾਨੂੰਨੀ
parliament ਸੰਸਦ
stage ਮੰਚ
share ਵੰਡਣਾ
inside ਅੰਦਰੂਨੀ
early ਜਲਦੀ
custody ਕੈਦ
outside ਬਾਹਰ
land ਜਮੀਨੀ
sleep ਸੌਣਾ
fear ਡਰਨਾ
technology ਤਕਨੀਕ
construction ਪਦ
park ਪਾਰਕ
energy ਊਰਜਾ
cultural ਸੰਸਕ੍ਰਿਤਕ
tried ਜਾਂਚਿਆ
arrest ਫੜਨਾ
save ਬਚਾਉਣਾ
equipped ਲੈਸ
patient ਸ਼ਾਂਤ
green ਹਰਾ
comment ਟਿੱਪਣੀ
hearing ਸੁਣਨ
basic ਮੁਢਲੀ
reading ਅਧਿਐਨ
sea ਸਾਗਰ
eating ਅਹਾਰ
front ਸਨਮੁੱਖ
seem ਲੱਗਣਾ
environment ਵਾਤਾਵਰਣ
infection ਸੰਕਰਮਣ
range ਭਟਕਣਾ
hear ਸੁਣਨਾ
demand ਮੰਗ
especially ਖਾਸਕਰ
short ਛੋਟਾ
economic ਅਰਥਸ਼ਾਸਤਰੀ
million ਮਿਲੀਅਨ
interest ਪਸੰਦ
hit ਮਾਰਨਾ
crime ਅਪਰਾਧ
cover ਢਕਣਾ
military ਸੈਨਿਕ
supply ਦੇਣਾ
worse ਬੁਰਾ
finance ਅਰਥਵਿਵਸਥਾ
speaking ਬੋਲਦਾ
giving ਪ੍ਰਦਾਨ
equal ਪਾਉਣਾ
throughout ਸੰਪੂਰਨ
heat ਜਲਾਉਣਾ
protect ਬਚਾਉਣਾ
ordered ਤਰਕਸੰਗਤ
impossible ਅਨਹੋਣੀ
stated ਤਸਦੀਕ
performance ਸੰਪਾਦਨ
chairman ਸਭਾਪਤੀ
turn ਮੋੜਨਾ
treat ਵਰਤਣਾ
student ਵਿਦਿਆਰਥਣ
gujarat ਗੁਜਰਾਤ
farmer ਕਿਸਾਨ
