abdul   අබ්දුල්
ability හැකියාව
about   පිළිබඳව
above	ඉහත
abroad  පිටරට
absence නොපැමිණීම
absolute    නිරපේක්ෂ
absorption  අවශෝෂණය
academy ඇකඩමිය
acceptance	පිළිගැනීම
access	ප්‍රවේශ
accessories	උපාංග
accident    අනතුර
accommodation	නවාතැන්
account ගිණුම
accreditation	ප්‍රතීතනය
accrual උපචිත
accuracy    නිරවද්‍යතාව
achievements    ජයග්‍රහණ
acres   අක්කර
act පනත
actions	ක්‍රියාවන්
activists	ක්‍රියාකාරීන්
additional  අතිරේක
address	ලිපිනය
adjustments ගැලපීම්
admin   පරිපාලක
administration  පරිපාලනය
adult   වැඩිහිටි
advanced    උසස්
affairs	කටයුතු
african අප්‍රිකානු
again	නැවතත්
against	විරුද්ධව
agalawatta	අගලවත්ත
age වයස
agency  නියෝජිතායතනය
agenda  න්‍යායපත්‍රය
agents  නියෝජිතයන්
agreement	ගිවිසුම
agriculture	කෘෂිකර්ම
ahadiya අහදියා
aid	ආධාර
air වායු
airport ගුවන්තොටුපළ
ajith   අජිත්
akmeemana	අක්මීමන
alliance	සන්ධානය
allowance	දීමනාව
almost  පාහේ
already	දැනටමත්
ambalangoda අම්බලන්ගොඩ
ambassador	තානාපති
amendment   සංශෝධනය
america	ඇමරිකාව
ampara	අම්පාර
analysis    විශ්ලේෂණය
analyst විශ්ලේෂක
ananda  ආනන්ද
ancient පුරාණ
and සහ
anil    අනිල්
animal	සත්ත්ව
animation   සජීවීකරණය
anniversary සංවත්සරය
annual  වාර්ෂික
answers පිළිතුරු
antiquities	පුරාවස්තු
anura   අනුර
anuradhapura    අනුරාධපුර
any කිසියම්
appeal  අභියාචනය
applicant   අයදුම්කරු
appointment පත්වීම
appropriate	සුදුසු
approval	අනුමැතිය
april   අප්‍රේල්
aquatic	ජලජ
arbitration	බේරුම්කරණය
archaeological  පුරාවිද්‍යාත්මක
archives    ලේඛනාගාර
area    ප්‍රදේශය
armed	සන්නද්ධ
army	හමුදා
around  අවට
arrangement	විධිවිධානය
arrival	පැමිණීම
art	කලාව
arthur	ආතර්
artist	කලාකරු
as  වශයෙන්
asia    ආසියාව
assessment  තක්සේරුව
asset	වත්කම
assignment  පැවරුම
assistant   සහකාර
association සංගමය
assumptions උපකල්පන
atomic	පරමාණුක
attanagalla	අත්තනගල්ල
attention	අවධානය
attitude    ආකල්පය
attractive  ආකර්ෂණීය
auction	වෙන්දේසිය
audio   ශ්‍රව්‍ය
audit   විගණන
auditorium  ශ්‍රවණාගාරය
august  අගෝස්තු
australia	ඕස්ට්‍රේලියාව
austria	ඔස්ට්‍රියාව
authority   අධිකාරිය
automation	ස්වයංක්‍රීයකරණය
average සාමාන්‍යය
avissawella අවිස්සාවේල්ල
avoid	වළකින්න
award   සම්මානය
awareness   දැනුවත්
background	පසුබිම
baddegama	බද්දේගම
badulla බදුල්ල
bags	බෑග්
bakmaha	බක්මහ
balance ශේෂය
balangoda   බලන්ගොඩ
balapitiya	බලපිටිය
banana  කෙසෙල්
bandarawela බණ්ඩාරවෙල
bandula බන්දුල
bangkok බැංකොක්
bangladesh	බංගලාදේශය
bank    බැංකුව
basin	ද්‍රෝණිය
basketball	පැසිපන්දු
battaramulla	බත්තරමුල්ල
batticaloa  මඩකලපුව
bay	බොක්ක
bear    වලහා
beauty	අලංකාරය
beds    ඇඳන්
before  පෙර
beginning	ආරම්භය
belarus බෙලාරුස්
belgium	බෙල්ජියම
benefit	ප්‍රතිලාභය
best	හොඳම
beyond	ඔබ්බට
bhutan	භූතානය
bicycle බයිසිකලය
bids    ලංසු
bilateral   ද්විපාර්ශ්වික
bilingually ද්විභාෂාවෙන්
billion බිලියන	
bills	බිල්පත්
bio ජෛව
biyagama    බියගම
black   කළු
blacksmith  කම්මල්කරු
blocks	කුට්ටි
blood   ලේ
blue    නිල්
board   මණ්ඩලය
bogambara   බෝගම්බර
bonds	බැඳුම්කර
book	පොත
both	දෙකම
boxes   පෙට්ටි
boxing  බොක්සිං
branch	ශාඛාව
brass   පිත්තල
bribery අල්ලස්
brick   ගඩොල්
bridge  පාලම
british බ්‍රිතාන්‍ය
broadcasting	විකාශනය
buddhist	බෞද්ධ
budget	අයවැය
building    ගොඩනැගිල්ල
bungalow    බංගලාව
bureau  කාර්යාංශය
business    ව්‍යාපාරික
buttala බුත්තල
butterflies	සමනලුන්
by  විසින්
