a මත
able    හැකි
about ගැන 
above ඉහත
academic ශාස්ත්‍රීය
accepted    අනුමත
accordance අනුකූලව
according අනුකූල
accordingly අනුසාරයෙන්   
account ගිණුම
accountant ගණකාධිකාරී
accounted ගිණුම්ගත
accounting ගිණුම්කරණය
accounts ගිණුම් 
achieved    ලබාගත්
achieving සාක්ෂාත්
acquired අත්කරගත්
acres අක්කර
act අංකය
acting වැඩබලන
action කාර්යය  
actions ක්‍රියා
active ක්‍රියාකාරී
activity ක්‍රියාකාරීත්වය
additional අතිරේක
address ලිපිනය
adequate    ප්‍රමාණවත්
adjustments වෙනස්කම් 
administration පරිපාලනය
administrative පාලන
advance දියුණුව
advanced උසස්
advances    අත්තිකාරම්
advice උපදෙස්
affairs කටයුතු 
after අනතුරුව
against එරෙහිව
age වයස
agency කාර්යාංශය  
agents නියෝජිතයන්
agreement එකඟත්වය 
agricultural    කෘෂිකාර්මික
agriculture කෘෂිකර්මය
aid ආධාර
all සියල්ල
allocated අනුමත 
allocation පැවරීම 
allocations පැවරීම්
allowance දීමනාව 
allowances  දීමනා
already දැනටමත්
amended සංශෝධිත
amendment   සංශෝධනය
amendments සංශෝධන
among අතර   
amounted එකතුව
amounting ප්‍රමාණය
and පිණිස
animals සතුන්
annex   ඇමුණුම
annual වාර්ෂික   
annually වාර්ෂිකව
another අනෙක්
any ඕනෑම
applicable  අදාළ
application අයදුම්පත
applications අයදුම්පත් 
applied ප්‍රායෝගික
appointed පත්වීම   
appointment පත්වීම
appointments පත්වීම්
approach ප්‍රවේශය
appropriate උචිත
approval අනුමැතිය
approximately ආසන්නව
are ආර
area ප්‍රදේශය 
areas අවකාශ
arising නගින
around  වටා
arrangements    විධිවිධාන
arrears හිඟය
article ලිපිය
arts කලා
as ලෙස
assessment  ඇගයීම
asset   වත්කම
assets වත්කම්   
assigned    පැවරූ
assist සහාය
assistance සහාය
associated අනුබද්ධ
association සංගමය
associations සංගම්
assurance සහතිකය
at කෙරෙහි
atomic පරමාණුක
attention අවධානය 
attorney නීතිඥ
audit විගණනය
auditor විගණක 
auditorium ශ්‍රවණාගාරය
auditors විගණකවරුන්
authorities බලධාරීන්
authority අධිකාරිය 
authorized බලයලත්
available තිබෙන
average සාමාන්‍ය
aware දැනුවත්
balance ඉතිරිය
balances ඉතිරි
bank බැංකුව
banks බැංකු
basis පදනම
be ඉන්නවා
become පත්වූ
been ගිය
before පෙර
beginning ආරම්භය
behalf වෙනුවෙන්
being වීම
below පහතින්
benefit ලාභ
benefits    ප්‍රතිලාභ
best    හොඳම
between අතර   
bilateral ද්විපාර්ශ්වික
bilingual ද්විභාෂා
bills බිල්පත්
birth උපත්
board පුවරුව
boards මණ්ඩලය 
book    පොත
botanical උද්භිද
branch  ශාඛාව
bridge  පාලම
bridges පාලම්
brought ගෙනා    
budget  අයවැය
building ගොඩනැගිල්ල  
buildings ගොඩනැගිලි    
business ව්‍යාපාර
but එහෙත් 
by නිසා
bylaws අනුනීති
cabinet කැබිනෙට්ටුව 
cadre   පිරිස   
calculated සූදානම්
can හැකි 
candidate අපේක්ෂකයා
candidates අපේක්ෂකයන්
capacity ධාරිතාව 
capital ප්‍රාග්ධනය 
care රැකවරණය
cases නඩු
cash මුදල්
categories කාණ්ඩ
category    කාණ්ඩය
caused ඇතිවිය
cement  සිමෙන්ති
cent    ශත
center මධ්‍යස්ථානය
centers මධ්‍යස්ථාන
centre කේන්ද්‍රය
centres මධ්‍යස්ථාන
certain නිශ්චිත
certificate සහතිකය
certificates    සහතිකපත්
certified සහතිකලත්
ceylon ලංකාව
chairman සභාපති
changes වෙනස්වීම්
chapter පරිච්ඡේදය
chief ප්‍රධානියා
children ළමයින් 
circuit පරිපථ
circulars   චක්‍රලේඛ
circumstances තත්වයන්
citizens    පුරවැසියන්
city    නගරය
civil   සිවිල්
claims හිමිකම්
class   පන්තිය
classes පන්ති
classification වර්ගීකරණය
close සමීප
coconut පොල්
code කේතය 
coexistence සහජීවනය
collaboration   සහයෝගය
collection  එකතුව
combined    සංයුක්ත
come පැමිණීම
coming ඒම
comments අදහස්
commercial වාණිජ 
commission කොමිස් 
commitment කැපවීම
committee කමිටුව
committees  සංගම්
common  පොදු
communication   සන්නිවේදනය
community ප්‍රජාව
companies   සමාගම්
company සමාගම
competition තරඟ
complaints  පැමිණිලි
complete සම්පූර්ණ
complex සංකීර්ණය
comprehensive   ව්‍යාප්ත
concern සැලකිලිමත්
concerned සැලකිලිමත්
concurrence එකඟතාව
condition තත්ත්වය
conditions  කොන්දේසි
condominium සහාධිපත්‍ය
conference  සම්මේලනය  
consists    අඩංගු
consolidated    ඒකාබද්ධ
construction ඉදිකිරීම
consultancy උපදේශනය
continue දිගටම
contract කොන්ත්‍රාත්තුව
contractor කොන්ත්‍රාත්කරු
